Date,Target,Naive,Naive (drift),AutoSARIMA,AutoSARIMAX,Exponential Smoothing,Theta,STL,XGBoost,XGBoost (+ X)
2012-11,74.80848044462576,77.08770640281074,77.33768009294704,76.07170345564603,76.06406544377188,76.10791543460333,60.362517489795856,75.78289399811013,74.52014,74.06356
2012-12,75.7956797884659,74.80848044462576,75.0345937607213,75.48993555885284,76.31211887600205,75.08814286996486,60.363148519039555,77.36253469682062,75.70257,75.000465
2013-01,80.85849347157716,75.7956797884659,76.02890605809176,75.4944513822711,74.66059504886636,75.63988160514401,60.364171789026685,75.49056461348823,75.06377,76.1726
2013-02,75.48489668040155,80.85849347157716,81.13643814317975,79.6800454714458,80.02100265345058,79.72784203957742,60.36793382134502,78.83153572364613,76.45371,77.02399
2013-03,73.25540632466563,75.48489668040155,75.71099234775845,76.72452983677857,77.55288809395762,76.47032977473445,60.3682624384772,80.37090974724542,74.09605,77.26579
2013-04,73.03485535761642,73.25540632466563,73.4591784827217,74.06091979689008,73.45014294408611,73.98855555187825,60.3671667970618,72.62945648169878,73.508965,73.73834
2013-05,74.7376748355499,73.03485535761642,73.23480478481568,72.71241220503178,72.84494647037997,73.24751825695834,60.36585680827733,72.84122528796725,74.55997,73.260254
2013-06,74.91753906009777,74.7376748355499,74.95104274534499,74.5352702471362,73.17738873303858,74.39759297818506,60.36539203751981,73.07532600677078,73.42438,73.72896
2013-07,73.92292205867294,74.91753906009777,75.13061047710306,74.68962813395358,74.76855229335725,74.798911003462,60.36490299374089,76.08195293976611,75.181496,74.362175
2013-08,72.603642883411,73.92292205867294,74.12539971762183,73.61700412784593,74.66324405874118,74.12347765990586,60.36377644447284,74.58464363418206,74.06349,74.287704
2013-09,72.93767317525769,72.603642883411,72.79288787423633,73.06132990570356,75.06944695063018,72.95003144050422,60.361889225491,73.11702493802687,72.70793,75.28829
2013-10,75.53998895648344,72.93767317525769,73.12816631522975,73.46308692115657,72.83082291962356,72.94048283114614,60.36013083828176,72.5565758105121,71.39767,71.17666
2013-11,75.66998910877086,75.53998895648344,75.75109596518416,74.80214491394604,74.64918620323135,74.94471939316851,60.35962320554813,74.1842214794062,71.71793,73.675644
2013-12,78.50772728247512,75.66998910877086,75.88040877123079,75.66993328929158,76.57632378046199,75.50621139104899,60.359074409223474,77.00918030350853,73.87416,75.76387
2014-01,74.81563039737574,78.50772728247512,78.74022525175224,78.59536051632172,78.70414354780561,77.83829635523745,60.35979091929137,77.3226019422618,76.06607,77.49958
2014-02,80.37404327905884,74.81563039737574,75.01542340953306,75.13662764601541,74.79491096382532,75.51288832031814,60.35859869845957,78.42948470095881,74.34156,75.527145
