datetime,bid_close_agg
2021-07-29,1.18897
2021-07-30,1.18654
2021-08-02,1.18734
2021-08-03,1.18688
2021-08-04,1.18368
2021-08-05,1.18326
2021-08-06,1.1747
2021-08-09,1.17354
2021-08-10,1.1719
2021-08-11,1.17411
2021-08-12,1.17351
2021-08-13,1.17934
2021-08-16,1.17771
2021-08-17,1.17087
2021-08-18,1.17021
2021-08-19,1.16759
2021-08-20,1.16962
2021-08-23,1.17434
2021-08-24,1.17521
2021-08-25,1.17711
2021-08-26,1.17529
2021-08-27,1.17976
2021-08-30,1.1796
2021-08-31,1.18091
2021-09-01,1.18402
2021-09-02,1.18731
2021-09-03,1.18847
2021-09-06,1.18725
2021-09-07,1.18423
2021-09-08,1.18181
2021-09-09,1.18225
2021-09-10,1.18108
2021-09-13,1.18091
2021-09-14,1.18018
2021-09-15,1.18183
2021-09-16,1.17643
2021-09-17,1.17288
2021-09-20,1.17262
2021-09-21,1.17221
2021-09-22,1.16867
2021-09-23,1.17392
2021-09-24,1.17218
2021-09-27,1.16949
2021-09-28,1.16855
2021-09-29,1.16008
2021-09-30,1.1573
2021-10-01,1.16059
2021-10-04,1.16154
2021-10-05,1.15949
2021-10-06,1.15546
2021-10-07,1.15588
2021-10-08,1.15647
2021-10-11,1.15526
2021-10-12,1.15297
2021-10-13,1.15962
2021-10-14,1.15897
2021-10-15,1.15958
2021-10-18,1.16125
2021-10-19,1.16306
2021-10-20,1.16516
2021-10-21,1.1624
2021-10-22,1.16386
2021-10-25,1.16081
2021-10-26,1.15956
2021-10-27,1.15979
2021-10-28,1.16813
2021-10-29,1.15555
2021-11-01,1.15989
2021-11-02,1.15784
2021-11-03,1.16147
2021-11-04,1.15546
2021-11-05,1.15674
2021-11-08,1.15872
2021-11-09,1.15934
2021-11-10,1.14848
2021-11-11,1.14469
2021-11-12,1.14404
2021-11-15,1.13662
2021-11-16,1.13173
2021-11-17,1.13169
2021-11-18,1.13671
2021-11-19,1.12808
2021-11-22,1.12411
2021-11-23,1.12438
2021-11-24,1.12019
2021-11-25,1.12086
2021-11-26,1.12918
2021-11-29,1.1292
2021-11-30,1.1329
2021-12-01,1.13181
2021-12-02,1.1305
2021-12-03,1.13033
